number,discovery_date,discovery_site,discoverer,category,diameter_km
1,"January 1, 1801",Palermo,G. Piazzi,·,939.0
2,"March 28, 1802",Bremen,H. W. Olbers,PAL,513.0
3,"September 1, 1804",Sternwarte Lilienthal,K. Harding,JUN,247.0
4,"March 29, 1807",Bremen,H. W. Olbers,V,523.0
5,"December 8, 1845",Driesen,K. L. Hencke,(5),107.0
6,"July 1, 1847",Driesen,K. L. Hencke,PHO,185.0
7,"August 13, 1847",London,J. R. Hind,·,200.0
8,"October 18, 1847",London,J. R. Hind,·,147.0
9,"April 25, 1848",Markree,A. Graham,·,190.0
10,"April 12, 1849",Naples,A. de Gasparis,HYG,407.0
11,"May 11, 1850",Naples,A. de Gasparis,·,143.0
12,"September 13, 1850",London,J. R. Hind,·,115.0
13,"November 2, 1850",Naples,A. de Gasparis,·,203.0
14,"May 19, 1851",London,J. R. Hind,·,152.0
15,"July 29, 1851",Naples,A. de Gasparis,EUN,232.0
16,"March 17, 1852",Naples,A. de Gasparis,·,222.0
17,"April 17, 1852",Düsseldorf,R. Luther,·,85.0
18,"June 24, 1852",London,J. R. Hind,·,140.0
19,"August 22, 1852",London,J. R. Hind,·,200.0
20,"September 19, 1852",Naples,A. de Gasparis,MAS,136.0
21,"November 15, 1852",Paris,H. Goldschmidt,·,98.0
22,"November 16, 1852",London,J. R. Hind,moon,168.0
23,"December 15, 1852",London,J. R. Hind,·,108.0
24,"April 5, 1853",Naples,A. de Gasparis,THM,198.0
25,"April 6, 1853",Marseilles,J. Chacornac,PHO,61.0
26,"May 5, 1853",Düsseldorf,R. Luther,·,95.0
27,"November 8, 1853",London,J. R. Hind,·,96.0
28,"March 1, 1854",Düsseldorf,R. Luther,·,121.0
29,"March 1, 1854",London,A. Marth,·,190.0
30,"July 22, 1854",London,J. R. Hind,·,93.0
31,"September 1, 1854",Washington,J. Ferguson,EUP · moon,267.0
32,"October 26, 1854",Paris,H. Goldschmidt,·,81.0
33,"October 28, 1854",Paris,J. Chacornac,·,53.0
34,"April 6, 1855",Paris,J. Chacornac,·,133.0
35,"April 19, 1855",Düsseldorf,R. Luther,·,103.0
36,"October 5, 1855",Paris,H. Goldschmidt,·,133.0
37,"October 5, 1855",Düsseldorf,R. Luther,·,108.0
38,"January 12, 1856",Paris,J. Chacornac,·,92.0
39,"February 8, 1856",Paris,J. Chacornac,·,179.0
40,"March 31, 1856",Paris,H. Goldschmidt,·,111.0
41,"May 22, 1856",Paris,H. Goldschmidt,moon,205.0
42,"May 23, 1856",Oxford,N. R. Pogson,·,111.0
43,"April 15, 1857",Oxford,N. R. Pogson,·,71.0
44,"May 27, 1857",Paris,H. Goldschmidt,NYS,71.0
45,"June 27, 1857",Paris,H. Goldschmidt,moon,202.0
46,"August 16, 1857",Oxford,N. R. Pogson,·,131.0
47,"September 15, 1857",Düsseldorf,R. Luther,·,168.0
48,"September 19, 1857",Paris,H. Goldschmidt,·,216.0
49,"September 19, 1857",Paris,H. Goldschmidt,·,166.0
50,"October 4, 1857",Washington,J. Ferguson,·,84.0
51,"January 22, 1858",Nîmes,J. J. P. Laurent,·,138.0
52,"February 4, 1858",Paris,H. Goldschmidt,·,304.0
53,"April 4, 1858",Düsseldorf,R. Luther,·,97.0
54,"September 10, 1858",Paris,H. Goldschmidt,·,160.0
55,"September 10, 1858",Albany,G. Searle,·,85.0
56,"September 9, 1857",Paris,H. Goldschmidt,·,121.0
57,"September 22, 1859",Düsseldorf,R. Luther,·,113.0
58,"March 24, 1860",Düsseldorf,R. Luther,·,107.0
59,"September 12, 1860",Paris,J. Chacornac,·,165.0
60,"September 14, 1860",Washington,J. Ferguson,·,43.0
61,"September 9, 1860",Paris,H. Goldschmidt,·,86.0
62,"September 14, 1860",Berlin,"O. Lesser , W. Foerster",THM,107.0
63,"February 10, 1861",Naples,A. de Gasparis,V,116.0
64,"March 4, 1861",Marseilles,E. W. Tempel,·,58.0
65,"March 8, 1861",Marseilles,E. W. Tempel,CYB,237.0
66,"April 9, 1861",Cambridge,H. P. Tuttle,·,72.0
67,"April 17, 1861",Madras,N. R. Pogson,·,56.0
68,"April 29, 1861",Düsseldorf,R. Luther,·,123.0
69,"April 29, 1861",Milan,G. Schiaparelli,·,138.0
70,"May 5, 1861",Paris,H. Goldschmidt,·,128.0
71,"August 13, 1861",Düsseldorf,R. Luther,·,83.0
72,"May 29, 1861",Clinton,C. H. F. Peters,·,75.0
73,"April 7, 1862",Cambridge,H. P. Tuttle,·,45.0
74,"August 29, 1862",Marseilles,E. W. Tempel,·,119.0
75,"September 22, 1862",Clinton,C. H. F. Peters,·,62.0
76,"October 21, 1862",Copenhagen Observatory,H. d'Arrest,CYB,145.0
77,"November 12, 1862",Clinton,C. H. F. Peters,·,61.0
78,"March 15, 1863",Düsseldorf,R. Luther,·,121.0
79,"September 14, 1863",Ann Arbor,J. C. Watson,·,63.0
80,"May 2, 1864",Madras,N. R. Pogson,·,69.0
81,"September 30, 1864",Marseilles,E. W. Tempel,·,118.0
82,"November 27, 1864",Düsseldorf,R. Luther,·,58.0
83,"April 26, 1865",Naples,A. de Gasparis,·,111.0
84,"August 25, 1865",Düsseldorf,R. Luther,·,79.0
85,"September 19, 1865",Clinton,C. H. F. Peters,EUN ·,155.0
86,"January 4, 1866",Berlin,F. Tietjen,·,110.0
87,"May 16, 1866",Madras,N. R. Pogson,SYL · CYB · moon,253.0
88,"June 15, 1866",Clinton,C. H. F. Peters,·,232.0
89,"August 6, 1866",Marseilles,É. Stephan,·,145.0
90,"October 1, 1866",Düsseldorf,R. Luther,THM · moon,116.0
91,"November 4, 1866",Marseilles,É. Stephan,(5),103.0
92,"July 7, 1867",Clinton,C. H. F. Peters,·,126.0
93,"August 24, 1867",Ann Arbor,J. C. Watson,GEF · moon ·,154.0
94,"September 6, 1867",Ann Arbor,J. C. Watson,·,205.0
95,"November 23, 1867",Düsseldorf,R. Luther,·,148.0
96,"February 17, 1868",Marseilles,J. Coggia,AEG,178.0
97,"February 17, 1868",Marseilles,E. W. Tempel,·,101.0
98,"April 18, 1868",Clinton,C. H. F. Peters,·,133.0
99,"May 28, 1868",Marseilles,A. Borrelly,·,67.0
100,"July 11, 1868",Ann Arbor,J. C. Watson,HYG ·,86.0
101,"August 15, 1868",Ann Arbor,J. C. Watson,·,66.0
102,"August 22, 1868",Clinton,C. H. F. Peters,·,83.0
103,"September 7, 1868",Ann Arbor,J. C. Watson,·,84.0
104,"September 13, 1868",Ann Arbor,J. C. Watson,THM,137.0
105,"September 16, 1868",Ann Arbor,J. C. Watson,PHO,95.0
106,"October 10, 1868",Ann Arbor,J. C. Watson,·,208.0
107,"November 17, 1868",Madras,N. R. Pogson,CYB · moon,210.0
108,"April 2, 1869",Düsseldorf,R. Luther,HYG ·,75.0
109,"October 9, 1869",Clinton,C. H. F. Peters,·,83.0
110,"April 19, 1870",Marseilles,A. Borrelly,PAD,86.0
111,"August 14, 1870",Clinton,C. H. F. Peters,·,126.0
112,"September 19, 1870",Clinton,C. H. F. Peters,·,70.0
113,"March 12, 1871",Düsseldorf,R. Luther,·,50.0
114,"July 23, 1871",Clinton,C. H. F. Peters,·,94.0
115,"August 6, 1871",Ann Arbor,J. C. Watson,·,80.0
116,"September 8, 1871",Clinton,C. H. F. Peters,·,72.0
117,"September 12, 1871",Marseilles,A. Borrelly,·,209.0
118,"March 15, 1872",Düsseldorf,R. Luther,·,40.0
119,"April 3, 1872",Ann Arbor,J. C. Watson,·,57.0
120,"April 10, 1872",Marseilles,A. Borrelly,·,155.0
121,"May 12, 1872",Ann Arbor,J. C. Watson,CYB · moon,209.0
122,"July 31, 1872",Clinton,C. H. F. Peters,·,71.0
123,"July 31, 1872",Clinton,C. H. F. Peters,·,45.0
124,"August 23, 1872",Clinton,C. H. F. Peters,·,89.0
125,"September 11, 1872",Paris,P. M. Henry,·,48.0
126,"November 5, 1872",Paris,P. P. Henry,·,45.0
127,"November 5, 1872",Paris,P. M. Henry,·,122.0
128,"November 25, 1872",Ann Arbor,J. C. Watson,·,163.0
129,"February 5, 1873",Clinton,C. H. F. Peters,·,113.0
130,"February 17, 1873",Clinton,C. H. F. Peters,moon,181.0
131,"May 24, 1873",Clinton,C. H. F. Peters,·,31.0
132,"June 13, 1873",Ann Arbor,J. C. Watson,·,43.0
133,"August 16, 1873",Ann Arbor,J. C. Watson,·,72.0
134,"September 27, 1873",Düsseldorf,R. Luther,·,108.0
135,"February 18, 1874",Clinton,C. H. F. Peters,NYS,79.0
136,"March 18, 1874",Pola,J. Palisa,·,37.0
137,"April 21, 1874",Pula,J. Palisa,·,129.0
138,"May 19, 1874",Toulouse,J. Perrotin,·,53.0
139,"October 10, 1874",Beijing,J. C. Watson,·,151.0
140,"October 13, 1874",Pola,J. Palisa,·,110.0
141,"January 13, 1875",Paris,P. P. Henry,·,118.0
142,"January 28, 1875",Pola,J. Palisa,NYS,55.0
143,"February 23, 1875",Pula,J. Palisa,·,95.0
144,"June 3, 1875",Clinton,C. H. F. Peters,·,142.0
145,"June 3, 1875",Clinton,C. H. F. Peters,ADE,128.0
146,"June 8, 1875",Marseilles,A. Borrelly,·,160.0
147,"July 10, 1875",Vienna,L. Schulhof,·,133.0
148,"August 7, 1875",Paris,P. M. Henry,GAL,98.0
149,"September 21, 1875",Toulouse,J. Perrotin,·,24.0
150,"October 18, 1875",Ann Arbor,J. C. Watson,·,119.0
151,"November 1, 1875",Pola,J. Palisa,·,39.0
152,"November 2, 1875",Paris,P. P. Henry,·,59.0
153,"November 2, 1875",Pola,J. Palisa,HIL · 3:2,171.0
154,"November 4, 1875",Paris,P. M. Henry,·,193.0
155,"November 8, 1875",Pola,J. Palisa,·,40.0
156,"November 22, 1875",Pula,J. Palisa,·,143.0
157,"December 1, 1875",Marseilles,A. Borrelly,·,20.0
158,"January 4, 1876",Berlin,V. Knorre,KOR,39.0
159,"January 26, 1876",Paris,P. P. Henry,(159),125.0
160,"February 20, 1876",Clinton,C. H. F. Peters,·,81.0
161,"April 19, 1876",Ann Arbor,J. C. Watson,·,41.0
162,"April 21, 1876",Paris,P. M. Henry,·,97.0
163,"April 26, 1876",Toulouse,J. Perrotin,ERI,82.0
164,"July 12, 1876",Paris,P. P. Henry,·,100.0
165,"August 9, 1876",Clinton,C. H. F. Peters,·,180.0
166,"August 15, 1876",Clinton,C. H. F. Peters,ADE,52.0
167,"August 28, 1876",Clinton,C. H. F. Peters,KOR,40.0
168,"September 28, 1876",Ann Arbor,J. C. Watson,CYB,145.0
169,"September 28, 1876",Paris,P. M. Henry,·,38.0
170,"January 10, 1877",Toulouse,J. Perrotin,MAR,33.0
171,"January 13, 1877",Marseilles,A. Borrelly,THM,131.0
172,"February 5, 1877",Marseilles,A. Borrelly,·,62.0
173,"August 1, 1877",Marseilles,A. Borrelly,EUN,126.0
174,"September 2, 1877",Ann Arbor,J. C. Watson,·,65.0
175,"October 1, 1877",Ann Arbor,J. C. Watson,·,95.0
176,"October 14, 1877",Clinton,C. H. F. Peters,·,107.0
177,"November 5, 1877",Paris,P. P. Henry,·,69.0
178,"November 6, 1877",Pola,J. Palisa,·,36.0
179,"November 11, 1877",Ann Arbor,J. C. Watson,TEL,70.0
180,"January 29, 1878",Toulouse,J. Perrotin,·,23.0
181,"February 2, 1878",Marseilles,P. Cottenot,·,115.0
182,"February 7, 1878",Pola,J. Palisa,·,40.0
183,"February 8, 1878",Pula,J. Palisa,·,33.0
184,"February 28, 1878",Pula,J. Palisa,·,62.0
185,"March 1, 1878",Clinton,C. H. F. Peters,·,160.0
186,"April 6, 1878",Paris,P. M. Henry,PHO,50.0
187,"April 11, 1878",Marseilles,J. Coggia,·,147.0
188,"June 18, 1878",Clinton,C. H. F. Peters,·,36.0
189,"September 9, 1878",Clinton,C. H. F. Peters,·,38.0
190,"September 22, 1878",Clinton,C. H. F. Peters,3:2,159.0
191,"September 30, 1878",Clinton,C. H. F. Peters,·,95.0
192,"February 17, 1879",Pola,J. Palisa,·,99.0
193,"February 28, 1879",Marseilles,J. Coggia,·,26.0
194,"March 21, 1879",Clinton,C. H. F. Peters,(194),162.0
195,"April 19, 1879",Pola,J. Palisa,·,93.0
196,"May 14, 1879",Clinton,C. H. F. Peters,·,145.0
197,"May 21, 1879",Pola,J. Palisa,·,32.0
198,"June 13, 1879",Marseilles,A. Borrelly,·,54.0
199,"July 9, 1879",Clinton,C. H. F. Peters,·,76.0
200,"July 27, 1879",Clinton,C. H. F. Peters,·,128.0
201,"August 7, 1879",Pola,J. Palisa,·,86.0
202,"September 11, 1879",Clinton,C. H. F. Peters,·,86.0
203,"September 25, 1879",Clinton,C. H. F. Peters,·,125.0
204,"October 8, 1879",Pula,J. Palisa,·,49.0
205,"October 13, 1879",Pula,J. Palisa,·,77.0
206,"October 13, 1879",Clinton,C. H. F. Peters,·,113.0
207,"October 17, 1879",Pula,J. Palisa,·,58.0
208,"October 21, 1879",Pula,J. Palisa,KOR,40.0
209,"October 22, 1879",Clinton,C. H. F. Peters,·,179.0
210,"November 12, 1879",Pula,J. Palisa,·,87.0
211,"December 10, 1879",Pula,J. Palisa,·,141.0
212,"February 6, 1880",Pula,J. Palisa,·,136.0
213,"February 16, 1880",Clinton,C. H. F. Peters,·,82.0
214,"February 29, 1880",Pula,J. Palisa,·,25.0
215,"April 7, 1880",Berlin,V. Knorre,·,35.0
216,"April 10, 1880",Pula,J. Palisa,moon,122.0
217,"August 30, 1880",Marseilles,J. Coggia,·,65.0
218,"September 4, 1880",Pula,J. Palisa,·,61.0
219,"September 30, 1880",Pula,J. Palisa,·,38.0
220,"May 19, 1881",Vienna,J. Palisa,·,32.0
221,"January 18, 1882",Vienna,J. Palisa,EOS,95.0
222,"February 9, 1882",Vienna,J. Palisa,THM ·,55.0
223,"March 9, 1882",Vienna,J. Palisa,THM,80.0
224,"March 30, 1882",Vienna,J. Palisa,·,58.0
225,"April 19, 1882",Vienna,J. Palisa,T j (2.99) · CYB,96.0
226,"July 19, 1882",Vienna,J. Palisa,·,31.0
227,"August 12, 1882",Paris,P. P. Henry,·,124.0
228,"August 19, 1882",Vienna,J. Palisa,·,9.3
229,"August 22, 1882",Vienna,J. Palisa,CYB,106.0
230,"September 3, 1882",Bothkamp,K. de Ball,·,111.0
231,"September 10, 1882",Vienna,J. Palisa,·,74.0
232,"January 31, 1883",Vienna,J. Palisa,·,55.0
233,"May 11, 1883",Marseilles,A. Borrelly,·,100.0
234,"August 12, 1883",Clinton,C. H. F. Peters,PHO,45.0
235,"November 28, 1883",Vienna,J. Palisa,·,58.0
236,"April 26, 1884",Vienna,J. Palisa,·,78.0
237,"June 27, 1884",Vienna,J. Palisa,·,41.0
238,"July 1, 1884",Berlin,V. Knorre,·,156.0
239,"August 18, 1884",Vienna,J. Palisa,·,38.0
240,"August 27, 1884",Marseilles,A. Borrelly,·,88.0
241,"September 12, 1884",Düsseldorf,R. Luther,·,169.0
242,"September 22, 1884",Vienna,J. Palisa,·,41.0
243,"September 29, 1884",Vienna,J. Palisa,KOR · moon,32.0
244,"October 14, 1884",Vienna,J. Palisa,slow,11.0
245,"February 6, 1885",Madras,N. R. Pogson,·,76.0
246,"March 6, 1885",Marseilles,A. Borrelly,·,51.0
247,"March 14, 1885",Düsseldorf,R. Luther,·,131.0
248,"June 5, 1885",Vienna,J. Palisa,·,50.0
249,"August 16, 1885",Clinton,C. H. F. Peters,·,35.0
250,"September 3, 1885",Vienna,J. Palisa,·,121.0
251,"October 4, 1885",Vienna,J. Palisa,EOS,27.0
252,"October 11, 1885",Nice,J. Perrotin,·,65.0
253,"November 12, 1885",Vienna,J. Palisa,slow,53.0
254,"March 31, 1886",Vienna,J. Palisa,(254),12.0
255,"March 31, 1886",Vienna,J. Palisa,GEF ·,57.0
256,"April 3, 1886",Vienna,J. Palisa,·,67.0
257,"April 5, 1886",Vienna,J. Palisa,·,73.0
258,"May 4, 1886",Düsseldorf,R. Luther,EUN,65.0
259,"June 28, 1886",Clinton,C. H. F. Peters,·,174.0
260,"October 3, 1886",Vienna,J. Palisa,(260) · CYB,102.0
261,"October 31, 1886",Clinton,C. H. F. Peters,·,50.0
262,"November 3, 1886",Vienna,J. Palisa,·,15.0
263,"November 3, 1886",Vienna,J. Palisa,KOR,24.0
264,"December 22, 1886",Clinton,C. H. F. Peters,·,63.0
265,"February 25, 1887",Vienna,J. Palisa,·,23.0
266,"May 17, 1887",Vienna,J. Palisa,·,109.0
267,"May 27, 1887",Nice,A. Charlois,·,56.0
268,"June 8, 1887",Marseilles,A. Borrelly,THM,145.0
269,"September 21, 1887",Vienna,J. Palisa,·,51.0
270,"October 8, 1887",Clinton,C. H. F. Peters,·,51.0
271,"October 13, 1887",Berlin,V. Knorre,·,66.0
272,"February 4, 1888",Nice,A. Charlois,·,27.0
273,"March 8, 1888",Vienna,J. Palisa,PHO,30.0
274,"April 3, 1888",Vienna,J. Palisa,·,27.0
275,"April 15, 1888",Vienna,J. Palisa,·,103.0
276,"April 17, 1888",Vienna,J. Palisa,·,115.0
277,"May 3, 1888",Nice,A. Charlois,KOR,30.0
278,"May 16, 1888",Vienna,J. Palisa,·,33.0
279,"October 25, 1888",Vienna,J. Palisa,4:3,127.0
280,"October 29, 1888",Vienna,J. Palisa,·,46.0
281,"October 31, 1888",Vienna,J. Palisa,·,11.0
282,"January 28, 1889",Nice,A. Charlois,·,39.0
283,"February 8, 1889",Nice,A. Charlois,EMA · moon,132.0
284,"May 29, 1889",Nice,A. Charlois,·,53.0
285,"August 3, 1889",Nice,A. Charlois,·,47.0
286,"August 3, 1889",Vienna,J. Palisa,·,94.0
287,"August 25, 1889",Clinton,C. H. F. Peters,·,60.0
288,"February 20, 1890",Düsseldorf,R. Luther,slow,29.0
289,"March 10, 1890",Nice,A. Charlois,·,38.0
290,"March 20, 1890",Vienna,J. Palisa,PHO,9.8
291,"April 25, 1890",Vienna,J. Palisa,·,10.0
292,"April 25, 1890",Vienna,J. Palisa,·,31.0
293,"May 20, 1890",Nice,A. Charlois,BRA,57.0
294,"July 15, 1890",Nice,A. Charlois,·,52.0
295,"August 17, 1890",Vienna,J. Palisa,·,28.0
296,"August 19, 1890",Nice,A. Charlois,·,8.2
297,"September 9, 1890",Nice,A. Charlois,·,39.0
298,"September 9, 1890",Nice,A. Charlois,BAP,21.0
299,"October 6, 1890",Vienna,J. Palisa,slow,16.0
300,"October 3, 1890",Nice,A. Charlois,·,67.0
301,"November 16, 1890",Vienna,J. Palisa,·,53.0
302,"November 14, 1890",Nice,A. Charlois,CLA,39.0
303,"February 12, 1891",Rome,E. Millosevich,·,125.0
304,"February 14, 1891",Vienna,J. Palisa,PHO,66.0
305,"February 16, 1891",Nice,A. Charlois,·,48.0
306,"March 1, 1891",Rome,E. Millosevich,·,47.0
307,"March 5, 1891",Nice,A. Charlois,·,61.0
308,"March 31, 1891",Marseilles,A. Borrelly,·,129.0
309,"April 6, 1891",Vienna,J. Palisa,·,41.0
310,"May 16, 1891",Nice,A. Charlois,·,34.0
311,"June 11, 1891",Nice,A. Charlois,KOR,26.0
312,"August 28, 1891",Nice,A. Charlois,·,46.0
313,"August 30, 1891",Vienna,J. Palisa,·,71.0
314,"September 1, 1891",Nice,A. Charlois,·,61.0
315,"September 4, 1891",Vienna,J. Palisa,·,6.5
316,"September 8, 1891",Nice,A. Charlois,THM,56.0
317,"September 11, 1891",Nice,A. Charlois,moon,19.0
318,"September 24, 1891",Nice,A. Charlois,·,85.0
319,"October 8, 1891",Nice,A. Charlois,CYB · slow,50.0
320,"October 11, 1891",Vienna,J. Palisa,EOS,23.0
321,"October 15, 1891",Vienna,J. Palisa,KOR ·,28.0
322,"November 27, 1891",Marseilles,A. Borrelly,·,70.0
323,"December 22, 1891",Heidelberg,M. F. Wolf,PHO,28.0
324,"February 25, 1892",Vienna,J. Palisa,·,221.0
325,"March 4, 1892",Heidelberg,M. F. Wolf,·,76.0
326,"March 19, 1892",Vienna,J. Palisa,PHO,93.0
327,"March 22, 1892",Nice,A. Charlois,·,30.0
328,"March 18, 1892",Heidelberg,M. F. Wolf,·,146.0
329,"March 21, 1892",Heidelberg,M. F. Wolf,PHO,81.0
330,"February 2, 1910",Heidelberg,M. F. Wolf,·,9.1
331,"April 1, 1892",Nice,A. Charlois,·,75.0
332,"March 19, 1892",Heidelberg,M. F. Wolf,·,40.0
333,"August 22, 1892",Heidelberg,M. F. Wolf,·,72.0
334,"August 23, 1892",Heidelberg,M. F. Wolf,3:2,199.0
335,"September 1, 1892",Heidelberg,A. Staus,·,97.0
336,"September 19, 1892",Nice,A. Charlois,·,63.0
337,"September 22, 1892",Nice,A. Charlois,·,65.0
338,"September 25, 1892",Nice,A. Charlois,·,51.0
339,"September 25, 1892",Heidelberg,M. F. Wolf,EOS,44.0
340,"September 25, 1892",Heidelberg,M. F. Wolf,·,28.0
341,"September 25, 1892",Heidelberg,M. F. Wolf,slow,16.0
342,"October 17, 1892",Heidelberg,M. F. Wolf,·,64.0
343,"November 15, 1892",Heidelberg,M. F. Wolf,slow,18.0
344,"November 15, 1892",Nice,A. Charlois,·,124.0
345,"November 23, 1892",Nice,A. Charlois,·,90.0
346,"November 25, 1892",Nice,A. Charlois,·,86.0
347,"November 28, 1892",Nice,A. Charlois,·,49.0
348,"November 28, 1892",Nice,A. Charlois,·,83.0
349,"December 9, 1892",Nice,A. Charlois,·,140.0
350,"December 14, 1892",Nice,A. Charlois,·,129.0
351,"December 16, 1892",Heidelberg,M. F. Wolf,·,40.0
352,"January 12, 1893",Heidelberg,M. F. Wolf,·,27.0
353,"January 16, 1893",Heidelberg,M. F. Wolf,·,14.0
354,"January 17, 1893",Nice,A. Charlois,·,149.0
355,"January 20, 1893",Nice,A. Charlois,(5),24.0
356,"January 21, 1893",Nice,A. Charlois,·,146.0
357,"February 11, 1893",Nice,A. Charlois,·,124.0
358,"March 8, 1893",Nice,A. Charlois,·,90.0
359,"March 10, 1893",Nice,A. Charlois,·,44.0
360,"March 11, 1893",Nice,A. Charlois,·,129.0
361,"March 11, 1893",Nice,A. Charlois,T j (2.98) · 3:2,154.0
362,"March 12, 1893",Nice,A. Charlois,·,98.0
363,"March 17, 1893",Nice,A. Charlois,PAD,97.0
364,"March 19, 1893",Nice,A. Charlois,·,26.0
365,"March 21, 1893",Nice,A. Charlois,·,87.0
366,"March 21, 1893",Nice,A. Charlois,·,86.0
367,"May 19, 1893",Nice,A. Charlois,·,21.0
368,"May 19, 1893",Nice,A. Charlois,·,69.0
369,"July 4, 1893",Marseilles,A. Borrelly,·,74.0
370,"July 14, 1893",Nice,A. Charlois,·,38.0
371,"July 16, 1893",Nice,A. Charlois,·,53.0
372,"August 19, 1893",Nice,A. Charlois,·,174.0
373,"September 15, 1893",Nice,A. Charlois,·,99.0
374,"September 18, 1893",Nice,A. Charlois,·,45.0
375,"September 18, 1893",Nice,A. Charlois,URS,216.0
376,"September 18, 1893",Nice,A. Charlois,·,35.0
377,"September 20, 1893",Nice,A. Charlois,·,90.0
378,"December 6, 1893",Nice,A. Charlois,·,28.0
379,"January 8, 1894",Nice,A. Charlois,THM · moon,85.0
380,"January 8, 1894",Nice,A. Charlois,·,68.0
381,"January 10, 1894",Nice,A. Charlois,·,128.0
382,"January 29, 1894",Nice,A. Charlois,·,65.0
383,"January 29, 1894",Nice,A. Charlois,THM ·,43.0
384,"February 11, 1894",Bordeaux,F. Courty,slow,34.0
385,"March 1, 1894",Heidelberg,M. F. Wolf,·,86.0
386,"March 1, 1894",Heidelberg,M. F. Wolf,·,165.0
387,"March 5, 1894",Bordeaux,F. Courty,·,101.0
388,"March 7, 1894",Nice,A. Charlois,·,126.0
389,"March 8, 1894",Nice,A. Charlois,·,74.0
390,"March 24, 1894",Paris,G. Bigourdan,·,26.0
391,"November 1, 1894",Heidelberg,M. F. Wolf,·,16.0
392,"November 4, 1894",Heidelberg,M. F. Wolf,·,61.0
393,"November 4, 1894",Heidelberg,M. F. Wolf,·,116.0
394,"November 19, 1894",Marseilles,A. Borrelly,·,30.0
395,"November 30, 1894",Nice,A. Charlois,·,44.0
396,"December 1, 1894",Nice,A. Charlois,AEO,39.0
397,"December 19, 1894",Nice,A. Charlois,·,49.0
398,"December 28, 1894",Nice,A. Charlois,·,50.0
399,"February 23, 1895",Heidelberg,M. F. Wolf,·,40.0
400,"March 15, 1895",Nice,A. Charlois,·,36.0
401,"March 16, 1895",Heidelberg,M. F. Wolf,CYB,88.0
402,"March 21, 1895",Nice,A. Charlois,·,55.0
403,"May 18, 1895",Nice,A. Charlois,·,54.0
404,"June 20, 1895",Nice,A. Charlois,·,95.0
405,"July 23, 1895",Nice,A. Charlois,·,109.0
406,"August 22, 1895",Nice,A. Charlois,·,46.0
407,"October 13, 1895",Heidelberg,M. F. Wolf,·,95.0
408,"October 13, 1895",Heidelberg,M. F. Wolf,slow,36.0
409,"December 9, 1895",Nice,A. Charlois,·,171.0
410,"January 7, 1896",Nice,A. Charlois,CLO,119.0
411,"January 7, 1896",Nice,A. Charlois,·,77.0
412,"January 7, 1896",Heidelberg,M. F. Wolf,·,96.0
413,"January 7, 1896",Heidelberg,M. F. Wolf,·,34.0
414,"January 16, 1896",Nice,A. Charlois,CYB,89.0
415,"February 7, 1896",Heidelberg,M. F. Wolf,·,84.0
416,"May 4, 1896",Nice,A. Charlois,·,85.0
417,"May 6, 1896",Heidelberg,M. F. Wolf,·,55.0
418,"September 7, 1896",Heidelberg,M. F. Wolf,·,40.0
419,"September 7, 1896",Heidelberg,M. F. Wolf,·,149.0
420,"September 7, 1896",Heidelberg,M. F. Wolf,CYB,139.0
421,"September 7, 1896",Heidelberg,M. F. Wolf,·,14.0
422,"October 8, 1896",Urania,G. Witt,·,11.0
423,"December 7, 1896",Nice,A. Charlois,EOS,176.0
424,"December 31, 1896",Nice,A. Charlois,·,103.0
425,"December 28, 1896",Nice,A. Charlois,·,68.0
426,"August 25, 1897",Nice,A. Charlois,·,138.0
427,"August 27, 1897",Nice,A. Charlois,·,32.0
428,"November 18, 1897",Munich,W. Villiger,·,20.0
429,"November 23, 1897",Nice,A. Charlois,·,70.0
430,"December 18, 1897",Nice,A. Charlois,·,32.0
431,"December 18, 1897",Nice,A. Charlois,THM,102.0
432,"December 18, 1897",Nice,A. Charlois,PHO,47.0
433,"August 13, 1898",Urania,G. Witt,AMO + 1 km (0.62 mi),17.0
434,"September 11, 1898",Heidelberg,M. F. Wolf,H,8.9
435,"September 11, 1898",Heidelberg,"M. F. Wolf, A. Schwassmann",·,35.0
436,"September 13, 1898",Heidelberg,"M. F. Wolf, A. Schwassmann",·,59.0
437,"July 16, 1898",Nice,A. Charlois,slow,13.0
438,"November 8, 1898",Nice,A. Charlois,·,59.0
439,"October 13, 1898",Mount Hamilton,E. F. Coddington,·,70.0
440,"October 13, 1898",Mount Hamilton,E. F. Coddington,·,14.0
441,"December 8, 1898",Nice,A. Charlois,·,65.0
442,"February 15, 1899",Heidelberg,"M. F. Wolf , A. Schwassmann",·,62.0
443,"February 17, 1899",Heidelberg,"M. F. Wolf, A. Schwassmann",·,26.0
444,"March 31, 1899",Marseilles,J. Coggia,·,159.0
445,"October 2, 1899",Mount Hamilton,E. F. Coddington,·,88.0
446,"October 27, 1899",Heidelberg,"M. F. Wolf , A. Schwassmann",·,54.0
447,"October 27, 1899",Heidelberg,"M. F. Wolf, A. Schwassmann",·,85.0
448,"October 27, 1899",Heidelberg,"M. F. Wolf, A. Schwassmann",·,51.0
449,"October 31, 1899",Heidelberg,"M. F. Wolf, A. Schwassmann",·,86.0
450,"October 10, 1899",Heidelberg,"M. F. Wolf, A. Schwassmann",EOS,37.0
451,"December 4, 1899",Nice,A. Charlois,·,254.0
452,"December 6, 1899",Mount Hamilton,J. E. Keeler,KOR,12.0
